Names,Website,Phone Number,Address,Review Count,Average Review Count,Type,Opens At,Latitude,Longitude
Spa Mirbeau Albany,spamirbeau.com,(844) 647-2328,"1 Crossgates Mall Rd, Albany, NY 12203",426,4.4,Spa,,42.69013644,-73.85015504
"Spa Halcyon Massage, Skin Care, and Wellness. Small business",spahalcyon.com,(518) 472-0025,"Upstairs First Floor, 225 Lark St, Albany, NY 12210",162,4.8,Day spa, Opens 8AM Mon,42.6556094,-73.76497247
Spa Mirbeau Albany,spamirbeau.com,(844) 647-2328,"1 Crossgates Mall Rd, Albany, NY 12203",426,4.4,Spa,,42.68890804,-73.84886864
Hand and Stone Massage and Facial Spa,handandstonealbany.com,(518) 310-7399,"98 Wolf Rd Suite 15, Albany, NY 12205",69,4.6,Massage therapist, Opens 12PM Mon,42.71719774,-73.81120444
Complexions Spa for Beauty & Wellness,complexions.com,(518) 489-5231,"221 Wolf Rd, Albany, NY 12205",569,4.4,Spa,,42.72588963,-73.79641935
Capital District Massage,capitaldistrictmassage.com,(518) 331-3127,"1718 Central Ave, Albany, NY 12205",109,4.8,Massage therapist, Opens 8AM Mon,42.72483651,-73.84151579
Green Garden Asia Spa - Albany,greengardenasianspa.weebly.com,(518) 436-1805,"46 Columbia St, Albany, NY 12207",43,3.9,Day spa,,42.65208847,-73.75018904
Rebalance Massage Therapy,rebalancemassagetherapy.com,(518) 496-9608,"527 Central Ave 2nd floor, Albany, NY 12206",75,4.9,Sports massage therapist, 7PM ,42.67053171,-73.77836422
Albany Massage Professionals,albanymassageprofessionals.com,(518) 464-4480,"1500 Central Ave, Albany, NY 12205",121,4.8,Massage therapist,,42.71259306,-73.82775738
Cocolo Spa,,(518) 438-3041,"260 Osborne Rd, Albany, NY 12211",57,4.8,Spa, Opens 9AM Mon,42.70657502,-73.77461895
"Swan Massage Oasis, LLC",swanmassageoasis.com,,"323 Hamilton St, Albany, NY 12210",91,5,Massage therapist,,42.65173473,-73.76375668
Salon 109 Spa & Hair Design,salon109.info,(518) 463-7161,"109 State St, Albany, NY 12207",76,4.7,Beauty salon, Opens 9AM Mon,42.65120797,-73.75443108
Virgo Massage & Bodyworks,,(518) 992-2992,"307 Hamilton St, Albany, NY 12210",18,4.6,Massage therapist,,42.65143784,-73.76326181
Wellness Foot Spa,wellnessfootspa.online,(518) 869-8809,"1531a Central Ave, Colonie, NY 12205",119,4.3,Spa, Closes 9PM,42.71391454,-73.82799081
Mirror Images Spa & Salon,mildred-elley.edu,(518) 786-3131,"855 Central Ave, Albany, NY 12206",9,4.8,Spa,,42.68097405,-73.78877835
