Names,Latitude,Longitude
Washington Park,42.65662143,-73.76902004
Orange Street Park,42.66127885,-73.76043182
West Capitol Park,42.65471357,-73.75871841
Jim DiNapoli Park,42.65187033,-73.7505658
SUNY Plaza Park,42.64966035,-73.74893639
Liberty Park,42.64839888,-73.75168376
Albany City Recreation Dprtmnt,42.66153485,-73.78566546
American Legion Memorial Park,42.63729,-73.77151268
Lincoln Park,42.64738917,-73.76610018
East Capitol Park,42.65287774,-73.75588126
North Swan Street Park,42.65867782,-73.75104947
Arbor Hill Park,42.6650536,-73.75241843
